airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-05-27,Delhi,Cochin,20:55:00,12:35:00,940,1 ,In-flight meal not included,12898
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,16:20:00,1285,1 ,No info,13044
Air India,2019-05-18,Delhi,Cochin,09:45:00,09:25:00,1420,2 ,No info,10975
Indigo,2019-06-03,Mumbai,Hyderabad,21:20:00,22:50:00,90,0,No info,2227
Jet Airways,2019-04-01,Mumbai,Hyderabad,02:55:00,04:20:00,85,0,No info,5678
Air India,2019-06-06,Delhi,Cochin,10:00:00,19:15:00,555,1 ,No info,9194
Indigo,2019-05-09,Delhi,Cochin,11:25:00,01:30:00,845,1 ,No info,8330
Jet Airways,2019-05-09,Delhi,Cochin,23:05:00,04:25:00,1760,2 ,No info,15129
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,10:05:00,1200,1 ,No info,13044
Indigo,2019-06-09,Kolkata,Banglore,19:35:00,23:15:00,220,1 ,No info,5276
Air India,2019-03-24,Mumbai,Hyderabad,19:30:00,20:45:00,75,0,No info,2575
Goair,2019-03-24,Banglore,New Delhi,11:40:00,14:35:00,175,0,No info,4340
Jet Airways,2019-03-21,Delhi,Cochin,02:15:00,04:25:00,1570,1 ,In-flight meal not included,7438
Indigo,2019-03-27,Delhi,Cochin,11:30:00,21:00:00,570,1 ,No info,6416
Jet Airways,2019-05-12,Kolkata,Banglore,21:10:00,12:00:00,890,1 ,In-flight meal not included,9663
Multiple Carriers,2019-06-15,Delhi,Cochin,10:00:00,01:30:00,930,1 ,No info,8510
Indigo,2019-05-06,Chennai,Kolkata,05:15:00,07:40:00,145,0,No info,3540
Jet Airways,2019-05-15,Kolkata,Banglore,09:35:00,19:10:00,575,1 ,In-flight meal not included,12384
Indigo,2019-03-09,Banglore,New Delhi,07:30:00,12:20:00,290,1 ,No info,5694
Jet Airways,2019-06-01,Delhi,Cochin,18:25:00,12:35:00,1090,2 ,No info,14237
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,08:15:00,735,1 ,No info,14571
Air India,2019-06-18,Mumbai,Hyderabad,13:55:00,15:25:00,90,0,No info,3100
Indigo,2019-06-18,Banglore,Delhi,18:25:00,21:20:00,175,0,No info,4823
Indigo,2019-03-12,Kolkata,Banglore,21:25:00,00:05:00,160,0,No info,4148
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,18:15:00,590,1 ,No info,12681
Jet Airways,2019-05-27,Delhi,Cochin,11:00:00,14:15:00,195,0,No info,9564
Air India,2019-05-24,Kolkata,Banglore,12:00:00,18:30:00,1830,2 ,No info,10151
Jet Airways,2019-05-09,Delhi,Cochin,15:00:00,19:00:00,1680,1 ,In-flight meal not included,12373
Vistara,2019-05-24,Kolkata,Banglore,20:20:00,23:25:00,1625,1 ,No info,9345
Jet Airways,2019-06-01,Mumbai,Hyderabad,07:05:00,08:30:00,85,0,No info,5678
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,12:00:00,330,1 ,In-flight meal not included,7826
Air India,2019-05-21,Delhi,Cochin,05:00:00,07:40:00,1600,2 ,No info,11806
Jet Airways,2019-06-21,Banglore,Delhi,17:45:00,20:45:00,180,0,In-flight meal not included,7754
Jet Airways,2019-03-12,Banglore,New Delhi,20:35:00,16:10:00,1175,1 ,In-flight meal not included,11087
Indigo,2019-05-09,Delhi,Cochin,04:55:00,21:00:00,965,1 ,No info,6979
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,19:10:00,1455,1 ,In-flight meal not included,11087
Spicejet,2019-06-12,Kolkata,Banglore,11:35:00,18:50:00,435,1 ,No info,8479
Air India,2019-05-12,Kolkata,Banglore,10:00:00,23:15:00,795,1 ,No info,10203
Multiple Carriers,2019-05-21,Delhi,Cochin,08:45:00,19:00:00,615,1 ,No info,9794
Spicejet,2019-05-24,Banglore,Delhi,05:55:00,08:35:00,160,0,No check-in baggage included,3257
Spicejet,2019-05-03,Mumbai,Hyderabad,22:45:00,00:15:00,90,0,No info,2227
Jet Airways,2019-03-27,Delhi,Cochin,15:05:00,04:25:00,800,1 ,In-flight meal not included,6017
Multiple Carriers,2019-05-15,Delhi,Cochin,15:00:00,01:30:00,630,1 ,No info,13727
Jet Airways,2019-05-18,Delhi,Cochin,09:40:00,04:25:00,1125,2 ,No info,15129
Multiple Carriers,2019-05-18,Delhi,Cochin,14:00:00,21:00:00,420,1 ,No info,13727
Multiple Carriers,2019-06-06,Delhi,Cochin,08:00:00,21:00:00,780,1 ,No info,13587
Indigo,2019-05-06,Kolkata,Banglore,04:40:00,07:15:00,155,0,No info,4804
Jet Airways,2019-05-27,Banglore,Delhi,07:10:00,10:10:00,180,0,No info,7229
Air India,2019-03-03,Delhi,Cochin,06:10:00,23:00:00,1010,1 ,No info,13002
Indigo,2019-06-12,Kolkata,Banglore,08:10:00,13:00:00,290,1 ,No info,5069
Jet Airways,2019-05-21,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,No info,8040
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,14:25:00,1285,1 ,No info,11467
Indigo,2019-03-15,Delhi,Cochin,05:35:00,08:50:00,195,0,No info,5406
Multiple Carriers,2019-03-06,Delhi,Cochin,09:45:00,22:20:00,755,1 ,No info,10276
Multiple Carriers,2019-05-27,Delhi,Cochin,07:30:00,21:00:00,810,1 ,No info,8475
Jet Airways,2019-05-18,Banglore,Delhi,11:10:00,14:05:00,175,0,No info,7229
Jet Airways,2019-03-09,Banglore,New Delhi,19:55:00,22:35:00,160,0,No info,7229
Air India,2019-05-21,Delhi,Cochin,17:20:00,09:25:00,965,1 ,No info,7480
Jet Airways,2019-06-06,Delhi,Cochin,13:00:00,04:25:00,925,1 ,No info,14714
Jet Airways,2019-06-01,Delhi,Cochin,05:30:00,19:00:00,810,2 ,No info,13014
Vistara,2019-06-06,Chennai,Kolkata,17:45:00,20:05:00,140,0,No info,11982
Jet Airways,2019-06-03,Delhi,Cochin,21:25:00,19:00:00,1295,2 ,No info,13292
Indigo,2019-03-01,Banglore,New Delhi,08:30:00,11:30:00,180,0,No info,10067
Indigo,2019-03-24,Banglore,New Delhi,23:30:00,02:20:00,170,0,No info,4944
Jet Airways,2019-03-01,Banglore,New Delhi,05:45:00,19:10:00,805,1 ,No info,27992
Indigo,2019-05-01,Kolkata,Banglore,15:15:00,20:05:00,290,1 ,No info,4775
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,18:15:00,1690,1 ,In-flight meal not included,7757
Air Asia,2019-05-03,Banglore,Delhi,11:10:00,13:55:00,165,0,No info,4483
Air India,2019-03-06,Delhi,Cochin,21:30:00,19:15:00,1305,2 ,No info,11552
Jet Airways,2019-05-21,Delhi,Cochin,19:45:00,12:35:00,1010,1 ,In-flight meal not included,12898
